##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 2 and data 1_ Read 1 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8228499
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	20-150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.49642237302332	37.0	37.0	37.0	37.0	37.0
2	36.48654159160741	37.0	37.0	37.0	37.0	37.0
3	36.558475124077916	37.0	37.0	37.0	37.0	37.0
4	36.5974809014378	37.0	37.0	37.0	37.0	37.0
5	36.60741588471968	37.0	37.0	37.0	37.0	37.0
6	36.6080867239578	37.0	37.0	37.0	37.0	37.0
7	36.61104230552863	37.0	37.0	37.0	37.0	37.0
8	36.6396093625338	37.0	37.0	37.0	37.0	37.0
9	36.61680654029368	37.0	37.0	37.0	37.0	37.0
10-14	36.62435345741672	37.0	37.0	37.0	37.0	37.0
15-19	36.602083344726665	37.0	37.0	37.0	37.0	37.0
20-24	36.571956553882046	37.0	37.0	37.0	37.0	37.0
25-29	36.526632155181325	37.0	37.0	37.0	37.0	37.0
30-34	36.49400745124304	37.0	37.0	37.0	37.0	37.0
35-39	36.46586425351044	37.0	37.0	37.0	37.0	37.0
40-44	36.44843849074526	37.0	37.0	37.0	37.0	37.0
45-49	36.41157870265198	37.0	37.0	37.0	37.0	37.0
50-54	36.39124458516647	37.0	37.0	37.0	37.0	37.0
55-59	36.36790878943587	37.0	37.0	37.0	37.0	37.0
60-64	36.34099323166122	37.0	37.0	37.0	37.0	37.0
65-69	36.30174479662394	37.0	37.0	37.0	37.0	37.0
70-74	36.28932338255074	37.0	37.0	37.0	37.0	37.0
75-79	36.279799997646975	37.0	37.0	37.0	37.0	37.0
80-84	36.229941083746986	37.0	37.0	37.0	37.0	37.0
85-89	36.18772788388812	37.0	37.0	37.0	37.0	37.0
90-94	36.14370060918254	37.0	37.0	37.0	37.0	37.0
95-99	36.1464633274952	37.0	37.0	37.0	37.0	37.0
100-104	36.095063006432994	37.0	37.0	37.0	37.0	37.0
105-109	36.086860405098186	37.0	37.0	37.0	37.0	37.0
110-114	36.04230294286809	37.0	37.0	37.0	37.0	37.0
115-119	36.025543491178254	37.0	37.0	37.0	37.0	37.0
120-124	35.9712331971574	37.0	37.0	37.0	37.0	37.0
125-129	35.9293894658537	37.0	37.0	37.0	37.0	37.0
130-134	35.88440871814039	37.0	37.0	37.0	37.0	37.0
135-139	35.830636945658625	37.0	37.0	37.0	37.0	37.0
140-144	35.774519375812005	37.0	37.0	37.0	37.0	37.0
145-149	35.76982821583531	37.0	37.0	37.0	37.0	37.0
150	36.40513772126741	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	30-34	-0.10830609861992002
1103	35-39	-0.014351756496452595
1103	40-44	-0.044916741609348776
1103	45-49	0.037700660845018774
1103	50-54	-0.005718577826989701
1103	55-59	-0.0033532190965672726
1103	60-64	-0.057749420155651876
1103	65-69	-0.12842256463498103
1103	70-74	-0.1262723901993752
1103	75-79	-0.24300021569364816
1103	80-84	-0.1707963848580789
1103	85-89	-0.1469572095065459
1103	90-94	-0.14159316578032133
1103	95-99	-0.16133552848841504
1103	100-104	-0.22202358302533298
1103	105-109	-0.24760822402715377
1103	110-114	-0.15081358932081912
1103	115-119	-0.2699437880295221
1103	120-124	-0.17575580875636376
1103	125-129	-0.26874351713879463
1103	130-134	-0.12110458087642684
1103	135-139	-0.2120101384457982
1103	140-144	-0.28992561186320387
1103	145-149	-0.29900134827560976
1103	150	0.134080731281621
1104	1	0.012982247439751404
1104	2	-0.13128127121483146
1104	3	-0.07987365785166389
1104	4	-0.17110632045960017
1104	5	0.01637320814261045
1104	6	0.12823124821000675
1104	7	0.017900991832114244
1104	8	-0.059879017011240876
1104	9	0.059341127000429594
1104	10-14	0.04282908076127967
1104	15-19	-0.011665390046054824
1104	20-24	-0.06380817101772607
1104	25-29	0.0187534560932221
1104	30-34	-0.026741446869159802
1104	35-39	-0.08231690793243018
1104	40-44	-0.047373859012978414
1104	45-49	0.016712886708702968
1104	50-54	-0.05256058224154003
1104	55-59	-0.017747709226831887
1104	60-64	0.040150461759417055
1104	65-69	0.036544575866159335
1104	70-74	-0.14747486350569972
1104	75-79	-0.05269812753352454
1104	80-84	-0.09538346128444175
1104	85-89	-0.08682656870895755
1104	90-94	-0.21720638531366632
1104	95-99	-0.025668880518622927
1104	100-104	-0.13472644143658385
1104	105-109	-0.15782054105866195
1104	110-114	-0.2286922645902365
1104	115-119	-0.110266395303114
1104	120-124	-0.08567377147213762
1104	125-129	-0.09193992169609544
1104	130-134	-0.1755971345306122
1104	135-139	-0.2094923054956226
1104	140-144	-0.28566559124378443
1104	145-149	-0.07217230372744154
1104	150	0.0788093246364241
1105	1	0.0455481492523333
1105	2	0.016258888457322485
1105	3	-0.008958088206128423
1105	4	-0.09968815082566351
1105	5	-0.1618410154370622
1105	6	0.013602366752721196
1105	7	-0.11187032517316453
1105	8	-0.05282972999443558
1105	9	0.06747551450502698
1105	10-14	0.021464715100457
1105	15-19	-0.03519531729791936
1105	20-24	-0.03031954717516072
1105	25-29	0.06987173760776244
1105	30-34	0.014739243314529915
1105	35-39	0.03862470203173274
1105	40-44	-0.06473063196298057
1105	45-49	0.041756429589732136
1105	50-54	-0.00766922656780622
1105	55-59	0.01860072671288293
1105	60-64	0.030946464329410617
1105	65-69	-0.06443775152985864
1105	70-74	0.001984430673871884
1105	75-79	0.044898305433662244
1105	80-84	-0.058802796645906596
1105	85-89	-0.09688207136797189
1105	90-94	-0.022315416687760603
