##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Af_NaCl_0_1_EKDN230045909-1A_HVJG7DSX7_L4_1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8230135
1111	75-79	-0.01966425239883307
1111	80-84	-0.08733591779734695
1111	85-89	-0.0310092883741504
1111	90-94	-0.05469507748132685
1111	95-99	-0.03680719457359771
1111	100-104	-0.10103123155146676
1111	105-109	-0.1645628348131538
1111	110-114	-0.2082162102801206
1111	115-119	-0.1420153668044506
1111	120-124	-0.10098437683144112
1111	125-129	-0.051374564639488085
1111	130-134	-0.022069947226093234
1111	135-139	-0.014762481618838308
1111	140-144	-0.08350510217898943
1111	145-149	-0.05673008485099018
1111	150	0.1927763634079298
1112	1	0.09159787440968614
1112	2	-0.013507199112922308
1112	3	0.06726552330442814
1112	4	-0.014983148912200761
1112	5	-0.004639765035840071
1112	6	0.042911420160343994
1112	7	0.05105827207706426
1112	8	0.1128459033028335
1112	9	0.05876439597916061
1112	10-14	-0.035525313345232234
1112	15-19	-0.03741092211678421
1112	20-24	0.017785845393063937
1112	25-29	-0.02112418196612964
1112	30-34	-0.1048881596549549
1112	35-39	-0.19922838374866814
1112	40-44	-0.14718046782419236
1112	45-49	-0.08952537222639023
1112	50-54	-0.14743975881854254
1112	55-59	-0.13631586219259617
1112	60-64	-0.21045264343082692
1112	65-69	-0.19614517188264813
1112	70-74	-0.17523368725062483
1112	75-79	-0.21273697764663524
1112	80-84	-0.18270895994619707
1112	85-89	-0.24808752142298118
1112	90-94	-0.2081258097961225
1112	95-99	-0.13850408327348873
1112	100-104	-0.270024539168233
1112	105-109	-0.28596934900282633
1112	110-114	-0.25602574566065783
1112	115-119	-0.31212137172501997
1112	120-124	-0.28160987673524573
1112	125-129	-0.3409218922422781
1112	130-134	-0.22584238594674133
1112	135-139	-0.2889061906773449
1112	140-144	-0.3163261290194015
1112	145-149	-0.2836079513880563
1112	150	-0.21723588739950372
1113	1	0.11077283618458011
1113	2	0.1471734678241745
1113	3	0.05444581059080633
1113	4	-0.023143039073524108
1113	5	0.08282552032628843
1113	6	0.03231760482660917
1113	7	0.18166852160640445
1113	8	-0.011871959003570964
1113	9	-0.029330173455313968
1113	10-14	0.06063137318809453
1113	15-19	-0.03003945728907098
1113	20-24	0.053348196523167246
1113	25-29	0.09253492289028031
1113	30-34	0.01268498811758434
1113	35-39	0.02704968700159327
1113	40-44	-0.02029599605876342
1113	45-49	0.008158238303977328
1113	50-54	-0.07873650006317234
1113	55-59	-0.11906099694260774
1113	60-64	-0.08909338983454518
1113	65-69	-0.07199522544980397
1113	70-74	-0.06293820457413801
1113	75-79	-0.1868957652606511
1113	80-84	-0.09714504860765061
1113	85-89	-0.1636469601639945
1113	90-94	-0.1523702008467609
1113	95-99	-0.007285352451049221
1113	100-104	-0.16481760352162667
1113	105-109	-0.13787852406861845
1113	110-114	-0.1343222060677718
1113	115-119	-0.15471506224207587
1113	120-124	-0.17243481094646285
1113	125-129	-0.270694829906752
1113	130-134	-0.08105504235764016
1113	135-139	-0.151594325812205
1113	140-144	-0.2416805563708877
1113	145-149	-0.066327082664003
1113	150	0.157552184286871
1114	1	0.016851683507589144
1114	2	0.09002494480899514
1114	3	-0.04626991582061635
1114	4	0.10500147347321587
1114	5	0.14061592703527737
1114	6	0.03483817250229038
1114	7	-0.11505134834691688
1114	8	-0.03233917727272484
1114	9	0.05993340851662765
1114	10-14	-0.0016631783674228018
1114	15-19	0.08388550494154856
1114	20-24	0.06906234431819058
1114	25-29	0.08163751208210357
1114	30-34	-0.006198395183524497
1114	35-39	0.08736013952960064
1114	40-44	-0.02634066177043337
1114	45-49	0.020841964464914042
1114	50-54	0.02772382447948729
1114	55-59	-0.07391569900158146
1114	60-64	0.03579004043366041
1114	65-69	-0.03933586999496441
1114	70-74	-0.0014572275541056001
1114	75-79	-0.01987658441905893
1114	80-84	0.08110814058888138
1114	85-89	-0.05840621463956808
1114	90-94	-0.11010763910459787
1114	95-99	-0.02374471155888358
1114	100-104	0.013185616333977634
1114	105-109	0.02785010524877407
1114	110-114	0.10447418372783801
1114	115-119	-0.0893311192496995
1114	120-124	-0.08365290267320802
1114	125-129	0.1063987937876334
1114	130-134	0.00865368334665817
1114	135-139	-0.013121226218473225
1114	140-144	-0.13248674663461202
1114	145-149	0.06787096715765273
1114	150	0.123433195749449
1115	1	0.11166598059342192
1115	2	0.0880174506819813
1115	3	0.12980712225187574
1115	4	0.09548043749752111
1115	5	0.11691429424750055
1115	6	-0.030372381403005022
1115	7	0.07031374765944776
1115	8	0.07921847508520585
1115	9	0.10728231254908849
1115	10-14	0.08324877534759878
1115	15-19	0.03662823893886724
1115	20-24	0.12186138134229196
1115	25-29	0.11047708728548145
1115	30-34	0.06768981418606757
1115	35-39	0.05594072080980794
1115	40-44	0.01272975584270597
1115	45-49	-0.05387797651398074
1115	50-54	-0.02716114261236413
1115	55-59	0.026592581426314155
1115	60-64	-0.02413579488969475
1115	65-69	-0.11669156922031476
1115	70-74	-0.09921170752770081
1115	75-79	0.019690853016626875
1115	80-84	-0.04478465068221027
1115	85-89	-0.18749468805095404
1115	90-94	-0.03175246407984389
1115	95-99	-0.01574113922890774
1115	100-104	-0.02971651347362325
1115	105-109	-0.09082036672591443
1115	110-114	-0.03269163839342326
1115	115-119	-0.19764416407855379
1115	120-124	-0.053191023705309703
1115	125-129	0.011244348760740763
1115	130-134	-0.048605329991325164
1115	135-139	-0.0022178538613104593
1115	140-144	-0.12138301316148414
1115	145-149	0.002354435424102519
1115	150	0.2164224981743672
1116	1	0.017785981855929833
1116	2	0.06943966448748995
1116	3	0.06622728448398618
1116	4	-0.03292911967825063
1116	5	-0.02525658603530445
1116	6	-0.018946695704052274
1116	7	0.1275053014895775
1116	8	-0.05617274418064966
1116	9	0.08580707346187921
1116	10-14	0.03580756081615277
1116	15-19	0.021902360707635182
1116	20-24	0.07479765631624957
1116	25-29	0.03187089469008697
1116	30-34	-0.004689695330071686
1116	35-39	-0.046842475225915337
1116	40-44	-0.0451208264885139
1116	45-49	-0.10496783542885879
1116	50-54	-0.04592704230621081
1116	55-59	-0.08500543643815206
1116	60-64	-0.10603081745700393
1116	65-69	-0.20783824093700787
1116	70-74	-0.06142740679860026
1116	75-79	-0.05190842735454737
1116	80-84	-0.07020774824241727
1116	85-89	-0.1507481678350615
1116	90-94	-0.10973750337537069
1116	95-99	-0.048341587418796905
1116	100-104	-0.17736414785167653
1116	105-109	-0.1556614486941612
1116	110-114	-0.09722214371173266
1116	115-119	-0.17320960926998197
1116	120-124	-0.043811861378500794
1116	125-129	-0.11168845431977559
1116	130-134	-0.1021873771459525
1116	135-139	-0.1517908109676469
1116	140-144	-0.16233873073873895
1116	145-149	-0.1788708273351034
1116	150	-0.1914176684765181
1117	1	0.16255924674092626
1117	2	0.1356659466355623
1117	3	0.09031254292678881
1117	4	0.1843566017974183
1117	5	0.21018807650433047
1117	6	0.10168594811295151
1117	7	0.12994880644705376
1117	8	0.02611876520583678
1117	9	-0.02015699116140013
1117	10-14	0.04482764235019232
1117	15-19	0.17208556066737657
