##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 2 and data 1_ Read 2 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8228499
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	20-150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.617914761853896	37.0	37.0	37.0	37.0	37.0
2	36.44638153325412	37.0	37.0	37.0	37.0	37.0
3	36.51220520291732	37.0	37.0	37.0	37.0	37.0
4	36.546583526351526	37.0	37.0	37.0	37.0	37.0
5	36.514050861524076	37.0	37.0	37.0	37.0	37.0
6	36.55650988108524	37.0	37.0	37.0	37.0	37.0
7	36.48981557875865	37.0	37.0	37.0	37.0	37.0
8	36.546715385151046	37.0	37.0	37.0	37.0	37.0
9	36.50404745750106	37.0	37.0	37.0	37.0	37.0
10-14	36.54208129575029	37.0	37.0	37.0	37.0	37.0
15-19	36.516811073319694	37.0	37.0	37.0	37.0	37.0
20-24	36.50600666692943	37.0	37.0	37.0	37.0	37.0
25-29	36.468365810347095	37.0	37.0	37.0	37.0	37.0
30-34	36.445078028731515	37.0	37.0	37.0	37.0	37.0
35-39	36.4132323316555	37.0	37.0	37.0	37.0	37.0
40-44	36.38203266211087	37.0	37.0	37.0	37.0	37.0
45-49	36.33322519110665	37.0	37.0	37.0	37.0	37.0
50-54	36.31783466616183	37.0	37.0	37.0	37.0	37.0
55-59	36.29867819936734	37.0	37.0	37.0	37.0	37.0
60-64	36.26840012299208	37.0	37.0	37.0	37.0	37.0
65-69	36.22162911163392	37.0	37.0	37.0	37.0	37.0
70-74	36.20736947759318	37.0	37.0	37.0	37.0	37.0
75-79	36.18087312628296	37.0	37.0	37.0	37.0	37.0
80-84	36.13611446270754	37.0	37.0	37.0	37.0	37.0
85-89	36.12730335155088	37.0	37.0	37.0	37.0	37.0
90-94	36.076786743750304	37.0	37.0	37.0	37.0	37.0
95-99	36.03291051944221	37.0	37.0	37.0	37.0	37.0
100-104	35.98110582028927	37.0	37.0	37.0	37.0	37.0
105-109	35.94179748092323	37.0	37.0	37.0	37.0	37.0
110-114	35.919015439049716	37.0	37.0	37.0	37.0	37.0
115-119	35.84242660623206	37.0	37.0	37.0	37.0	37.0
120-124	35.76565212753158	37.0	37.0	37.0	37.0	37.0
125-129	35.76788849851589	37.0	37.0	37.0	37.0	37.0
130-134	35.63466379489381	37.0	37.0	37.0	37.0	37.0
135-139	35.64822543110586	37.0	37.0	37.0	37.0	37.0
140-144	35.55124482160084	37.0	37.0	37.0	37.0	37.0
145-149	35.482077134266184	37.0	37.0	37.0	37.0	37.0
150	36.256480822948554	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	35-39	0.03224600210908335
1103	40-44	0.005136614607941681
1103	45-49	0.014760873246203232
1103	50-54	0.04614483393270774
1103	55-59	0.01301814549239566
1103	60-64	0.05359095002658165
1103	65-69	0.04199131948911372
1103	70-74	-0.08272828550426681
1103	75-79	0.08958779299759101
1103	80-84	-0.003973319736367387
1103	85-89	-0.03870440265380637
1103	90-94	0.08296662581317804
1103	95-99	0.09395769913812302
1103	100-104	-0.024920683406975286
1103	105-109	0.026419285964095707
1103	110-114	-0.10591623819021123
1103	115-119	0.06451355308195872
1103	120-124	0.06907711902071867
1103	125-129	0.11050459278988001
1103	130-134	-0.05555488003111009
1103	135-139	0.0314374917293776
1103	140-144	0.27857092433669806
1103	145-149	-0.0625102504996562
1103	150	0.08409353856850288
1104	1	-0.019762348276493924
1104	2	0.20228159215652397
1104	3	0.10636122597794184
1104	4	0.025602340120322253
1104	5	-2.747314601947437E-5
1104	6	0.1718094563162751
1104	7	-0.06892200394382542
1104	8	-0.10590593703398099
1104	9	-0.0821832983939288
1104	10-14	0.01865295749200868
1104	15-19	0.04662424003838339
1104	20-24	0.04489815340634351
1104	25-29	0.08276064357815471
1104	30-34	0.011409965444315162
1104	35-39	-0.026558504450036935
1104	40-44	0.010429149454232345
1104	45-49	-0.02436938321504556
1104	50-54	0.06966196345588571
1104	55-59	-0.03788931841846477
1104	60-64	0.02552053037967994
1104	65-69	-0.04265046126044325
1104	70-74	-0.0057697779135779115
1104	75-79	0.030007750616540818
1104	80-84	0.029207261380996385
1104	85-89	-0.059204334221156785
1104	90-94	0.05600316884487455
1104	95-99	0.07403459254494749
1104	100-104	0.07793930340419308
1104	105-109	0.1078730441604634
1104	110-114	0.023724054950349682
1104	115-119	0.17345732633350508
1104	120-124	0.11253209656237573
1104	125-129	0.08126270205814734
1104	130-134	0.09698869912057262
1104	135-139	0.026381500568440686
1104	140-144	0.16661661467986733
1104	145-149	0.23348965544372646
1104	150	-0.0801592573924026
1105	1	0.08482226572026974
1105	2	0.0015766634548484149
1105	3	0.06165302393274885
1105	4	0.03027265385870237
1105	5	-0.025059530004256203
1105	6	-0.09773620618138779
1105	7	0.05742647826864555
1105	8	0.04437661436976015
1105	9	-0.003989049941999667
1105	10-14	0.008054541326330877
1105	15-19	-0.04965742214999125
1105	20-24	-0.028806201815861243
1105	25-29	-0.020326480196757757
1105	30-34	-0.12426419511705689
1105	35-39	-0.07276007281974017
1105	40-44	0.020701262242816654
1105	45-49	0.03209347271273799
1105	50-54	-0.006008975310685116
1105	55-59	9.103697117964771E-4
1105	60-64	0.03261724221591322
1105	65-69	0.07470740926206787
1105	70-74	0.06977795941993747
1105	75-79	-0.014441161383352608
1105	80-84	-0.09934080457558991
1105	85-89	0.0088270847217089
1105	90-94	0.04771052677983789
1105	95-99	0.07643882469459129
1105	100-104	0.07098486602622245
1105	105-109	-0.04096459671252006
1105	110-114	0.013910725740920782
1105	115-119	0.20424634387939733
1105	120-124	-0.030400638805843982
1105	125-129	0.05371249038622494
1105	130-134	0.10020121514899927
1105	135-139	-0.04235149640951619
1105	140-144	-0.05474904981812756
1105	145-149	0.12118716991156475
1105	150	0.01934979376764545
1106	1	0.05322750388699404
1106	2	0.17272671740431633
1106	3	0.0902738290564713
1106	4	-0.021441861692984787
1106	5	0.16010327423934
1106	6	0.07069648784106164
1106	7	-0.010689703622553282
1106	8	-0.016647232452228877
1106	9	0.013829030637083406
1106	10-14	0.03396978997503197
1106	15-19	0.0957385259302086
1106	20-24	0.061960223827853156
1106	25-29	0.01922777724577429
1106	30-34	-0.002808595977100481
1106	35-39	0.009353453843374382
1106	40-44	0.0017782679173592442
1106	45-49	0.10801767181723676
1106	50-54	0.06770603407838394
1106	55-59	0.0070484582276293395
1106	60-64	0.04003296475124074
1106	65-69	0.1084136593206182
1106	70-74	0.1205734982236919
1106	75-79	0.0884794186133604
1106	80-84	0.06094558939376782
1106	85-89	7.69229226563084E-4
1106	90-94	0.04268962135883925
1106	95-99	-0.008000024374446468
1106	100-104	0.04417134650076093
1106	105-109	0.05089928119158316
1106	110-114	-0.04384178702889585
1106	115-119	0.20157135267029247
1106	120-124	0.1469455043836021
1106	125-129	0.12908393110842553
1106	130-134	0.1988881404613565
1106	135-139	0.1166608301773806
1106	140-144	0.21413339320336178
1106	145-149	0.11917924957874249
